,Qs,ElectricConsumption,SolarPVProduction
894,9.094,2.705,0.0
895,9.598,2.318,0.0
896,10.659,0.889,0.0
897,10.197,0.676,0.0
898,9.407,0.676,0.0
899,7.925,1.826,0.0
900,4.226,3.787,0.0
901,2.757,1.681,0.0
902,3.743,0.676,0.0
903,3.656,0.676,0.0
904,2.343,1.826,0.0
905,5.603,3.864,0.0
906,6.772,3.014,0.0
907,7.281,2.666,0.0
908,7.869,2.318,0.0
909,7.367,2.898,0.0
910,7.665,2.898,0.0
911,10.049,0.338,0.0
912,10.635,0.338,0.0
913,11.266,0.338,0.0
914,11.851,0.338,0.0
915,12.193,0.338,0.0
916,12.528,0.338,0.0
917,12.746,0.338,0.0
918,11.24,2.705,0.0
919,11.76,2.318,0.0
920,10.996,0.889,0.0
921,7.805,0.676,0.0
922,5.396,0.676,0.0
923,3.986,1.826,0.0
924,3.24,3.787,0.0
925,2.997,1.681,0.0
926,3.547,0.676,0.0
927,4.856,0.676,0.0
928,5.532,1.826,0.0
929,6.082,3.864,0.0
930,8.928,3.014,0.0
931,9.704,2.666,0.0
932,10.419,2.318,0.0
933,10.132,2.898,0.0
934,10.574,2.898,0.0
935,13.21,0.338,0.0
936,13.566,0.338,0.0
937,13.866,0.338,0.0
938,14.068,0.338,0.0
939,14.202,0.338,0.0
940,14.325,0.338,0.0
941,14.485,0.338,0.0
942,12.746,2.705,0.0
943,13.151,2.318,0.0
944,11.933,0.889,0.0
945,8.982,0.676,0.0
946,7.156,0.676,0.0
947,4.579,1.826,0.0
948,0.81,3.787,0.0
949,2.993,1.681,0.0
950,4.27,0.676,0.0
951,4.969,0.676,0.0
952,5.388,1.826,0.0
953,7.36,3.864,0.0
954,9.048,3.014,0.0
955,9.629,2.666,0.0
956,10.141,2.318,0.0
957,9.778,2.898,0.0
958,10.004,2.898,0.0
959,12.497,0.338,0.0
960,12.735,0.338,0.0
961,13.011,0.338,0.0
962,13.307,0.338,0.0
963,13.379,0.338,0.0
964,13.467,0.338,0.0
965,13.639,0.338,0.0
966,11.906,2.705,0.0
967,12.34,2.318,0.0
968,11.204,0.889,0.0
969,7.821,0.676,0.0
970,5.992,0.676,0.0
971,2.859,1.826,0.0
972,0.0,3.787,0.0
973,0.971,1.681,0.0
974,2.902,0.676,0.0
975,3.493,0.676,0.0
976,4.258,1.826,0.0
977,6.119,3.864,0.0
978,7.63,3.014,0.0
979,8.311,2.666,0.0
980,8.934,2.318,0.0
981,8.523,2.898,0.0
982,8.653,2.898,0.0
983,11.22,0.338,0.0
984,11.632,0.338,0.0
985,11.925,0.338,0.0
986,12.357,0.338,0.0
987,12.44,0.338,0.0
988,12.628,0.338,0.0
989,12.733,0.338,0.0
990,11.057,2.705,0.0
991,11.513,2.318,0.0
992,10.122,0.889,0.0
