,Qs,ElectricConsumption,SolarPVProduction
555,28.875,0.947,0.0
556,29.521,0.947,0.0
557,29.981,0.947,0.0
558,25.29,7.573,0.0
559,26.97,6.492,0.0
560,29.419,2.488,0.0
561,21.701,1.893,0.0
562,17.539,1.893,0.0
563,9.597,5.112,0.0
564,1.648,10.603,0.0
565,5.799,4.706,0.0
566,10.341,1.893,0.0
567,13.894,1.893,0.0
568,14.453,5.112,0.0
569,14.341,10.819,0.0
570,17.427,8.439,0.0
571,19.0,7.465,0.0
572,20.606,6.492,0.0
573,19.468,8.114,0.0
574,20.151,8.114,0.0
575,27.164,0.947,0.0
576,27.65,0.947,0.0
577,28.353,0.947,0.0
578,28.988,0.947,0.0
579,29.345,0.947,0.0
580,29.616,0.947,0.0
581,29.899,0.947,0.0
582,24.98,7.573,0.0
583,26.771,6.492,0.0
584,28.881,2.488,0.0
585,21.013,1.893,0.0
586,16.717,1.893,0.0
587,8.834,5.112,0.0
588,0.481,10.603,0.0
589,4.4,4.706,0.0
590,8.954,1.893,0.0
591,12.442,1.893,0.0
592,12.965,5.112,0.0
593,12.921,10.819,0.0
594,15.526,8.439,0.0
595,16.881,7.465,0.0
596,18.098,6.492,0.0
597,16.609,8.114,0.0
598,17.057,8.114,0.0
599,23.514,0.947,0.0
600,23.846,0.947,0.0
601,24.133,0.947,0.0
602,24.184,0.947,0.0
603,24.393,0.947,0.0
604,24.725,0.947,0.0
605,24.906,0.947,0.0
606,19.897,7.573,0.0
607,21.373,6.492,0.0
608,23.367,2.488,0.0
609,15.953,1.893,0.0
610,11.804,1.893,0.0
611,3.863,5.112,0.0
612,0.0,10.603,0.0
613,0.0,4.706,0.0
614,3.011,1.893,0.0
615,6.945,1.893,0.0
616,6.786,5.112,0.0
617,6.995,10.819,0.0
618,9.396,8.439,0.0
619,10.764,7.465,0.0
620,11.948,6.492,0.0
621,10.595,8.114,0.0
622,11.012,8.114,0.0
623,17.454,0.947,0.0
624,17.954,0.947,0.0
625,18.361,0.947,0.0
626,18.916,0.947,0.0
627,19.047,0.947,0.0
628,19.291,0.947,0.0
629,19.531,0.947,0.0
630,14.648,7.573,0.0
631,16.277,6.492,0.0
632,19.734,2.488,0.0
633,19.233,1.893,0.0
634,17.129,1.893,0.0
635,14.178,5.112,0.0
636,6.678,10.603,0.0
637,3.583,4.706,0.0
638,6.596,1.893,0.0
639,9.861,1.893,0.0
640,9.201,5.112,0.0
641,8.515,10.819,0.0
642,11.168,8.439,0.0
643,12.785,7.465,0.0
644,14.286,6.492,0.0
645,13.074,8.114,0.0
646,13.626,8.114,0.0
647,20.524,0.947,0.0
648,21.128,0.947,0.0
649,21.873,0.947,0.0
650,22.598,0.947,0.0
651,22.904,0.947,0.0
652,23.188,0.947,0.0
653,23.493,0.947,0.0
654,18.769,7.573,0.0
655,20.53,6.492,0.0
656,22.679,2.488,0.0
657,14.627,1.893,0.0
658,10.842,1.893,0.0
659,5.012,5.112,0.0
660,0.0,10.603,0.0
661,1.568,4.706,0.0
662,5.584,1.893,0.0
663,9.146,1.893,0.0
664,10.488,5.112,0.0
665,10.551,10.819,0.0
666,13.468,8.439,0.0
667,14.751,7.465,0.0
668,16.321,6.492,0.0
669,15.043,8.114,0.0
670,15.543,8.114,0.0
671,22.378,0.947,0.0
672,22.755,0.947,0.0
673,23.118,0.947,0.0
674,23.586,0.947,0.0
675,23.818,0.947,0.0
676,24.061,0.947,0.0
677,24.458,0.947,0.0
678,19.556,7.573,0.0
679,21.16,6.492,0.0
680,22.8,2.488,0.0
681,15.526,1.893,0.0
682,12.296,1.893,0.0
683,4.79,5.112,0.0
684,0.0,10.603,0.0
685,0.0,4.706,0.0
686,3.314,1.893,0.0
687,7.283,1.893,0.0
688,8.137,5.112,0.0
689,8.66,10.819,0.0
690,11.152,8.439,0.0
691,12.267,7.465,0.0
692,13.46,6.492,0.0
693,11.798,8.114,0.0
694,11.93,8.114,0.0
695,18.309,0.947,0.0
696,18.368,0.947,0.0
697,18.689,0.947,0.0
698,19.098,0.947,0.0
699,19.181,0.947,0.0
700,19.422,0.947,0.0
701,19.629,0.947,0.0
702,14.599,7.573,0.0
703,16.228,6.492,0.0
704,19.24,2.488,0.0
705,16.013,1.893,0.0
706,13.705,1.893,0.0
707,8.618,5.112,0.0
708,2.646,10.603,0.0
709,8.301,4.706,0.0
710,10.978,1.893,0.0
711,13.331,1.893,0.0
712,14.44,5.112,0.0
713,9.87,10.819,0.0
714,12.129,8.439,0.0
715,12.998,7.465,0.0
716,14.202,6.492,0.0
717,12.145,8.114,0.0
718,12.261,8.114,0.0
719,18.806,0.947,0.0
720,18.139,0.947,0.0
721,18.066,0.947,0.0
722,18.071,0.947,0.0
723,18.044,0.947,0.0
724,17.924,0.947,0.0
725,17.843,0.947,0.0
726,12.647,7.573,0.0
727,14.091,6.492,0.0
728,16.228,2.488,0.0
729,10.04,1.893,0.0
730,4.198,1.893,0.0
731,0.0,5.112,0.0
732,0.0,10.603,0.0
733,0.0,4.706,0.0
734,0.0,1.893,0.0
735,3.76,1.893,0.0
736,5.225,5.112,0.0
737,3.724,10.819,0.0
738,6.616,8.439,0.0
739,8.311,7.465,0.0
740,9.437,6.492,0.0
741,8.148,8.114,0.0
742,8.781,8.114,0.0
743,15.431,0.947,0.0
744,16.235,0.947,0.0
745,17.686,0.947,0.0
746,18.487,0.947,0.0
747,19.151,0.947,0.0
748,19.774,0.947,0.0
749,20.026,0.947,0.0
750,15.385,7.573,0.0
751,17.355,6.492,0.0
752,18.831,2.488,0.0
753,12.358,1.893,0.0
754,9.766,1.893,0.0
755,3.033,5.112,0.0
756,0.0,10.603,0.0
757,0.0,4.706,0.0
758,4.166,1.893,0.0
759,7.665,1.893,0.0
760,7.208,5.112,0.0
761,6.873,10.819,0.0
762,9.74,8.439,0.0
763,11.447,7.465,0.0
764,12.963,6.492,0.0
765,11.65,8.114,0.0
766,12.508,8.114,0.0
767,19.278,0.947,0.0
768,19.802,0.947,0.0
769,20.37,0.947,0.0
770,20.716,0.947,0.0
771,20.951,0.947,0.0
772,21.258,0.947,0.0
773,21.38,0.947,0.0
774,16.44,7.573,0.0
775,17.79,6.492,0.0
776,18.102,2.488,0.0
777,13.042,1.893,0.0
778,9.486,1.893,0.0
779,3.1,5.112,0.0
780,0.0,10.603,0.0
781,0.0,4.706,0.0
782,4.002,1.893,0.0
783,6.708,1.893,0.0
784,5.164,5.112,0.0
785,6.096,10.819,0.0
786,9.103,8.439,0.0
787,10.416,7.465,0.0
788,11.847,6.492,0.0
789,10.483,8.114,0.0
790,11.08,8.114,0.0
791,17.64,0.947,0.0
792,18.253,0.947,0.0
793,18.732,0.947,0.0
794,19.186,0.947,0.0
795,19.415,0.947,0.0
796,19.702,0.947,0.0
797,20.055,0.947,0.0
798,15.043,7.573,0.0
799,16.522,6.492,0.0
800,17.802,2.488,0.0
801,12.983,1.893,0.0
