,Qs,HeatStockTemperature,ElectricConsumption,SolarPVProduction
347,25.901,60.0,1.461,0.823
348,24.13,60.0,3.029,0.858
349,26.023,60.0,1.345,0.753
350,27.124,60.0,0.541,0.648
351,27.814,60.0,0.541,0.386
352,27.264,60.0,1.461,0.142
353,26.107,60.0,3.091,0.0
354,26.704,60.0,2.411,0.0
355,27.272,60.0,2.133,0.0
356,26.941,60.0,1.855,0.0
357,26.331,60.0,2.318,0.0
358,26.234,60.0,2.318,0.0
359,28.032,60.0,0.27,0.0
360,28.098,60.0,0.27,0.0
361,28.412,60.0,0.27,0.0
362,27.833,60.0,0.27,0.0
363,27.624,60.0,0.27,0.0
364,27.518,60.0,0.27,0.0
365,27.422,60.0,0.27,0.0
366,25.954,60.0,2.164,0.0
367,26.322,60.0,1.855,0.0
368,27.368,60.0,0.711,0.035
369,26.886,60.0,0.541,0.245
370,26.184,60.0,0.541,0.471
371,24.482,60.0,1.461,0.68
372,22.628,60.0,3.029,0.714
373,24.305,60.0,1.345,0.644
374,25.292,60.0,0.541,0.522
375,25.817,60.0,0.541,0.296
376,25.272,60.0,1.461,0.105
377,24.017,60.0,3.091,0.0
378,24.626,60.0,2.411,0.0
379,24.973,60.0,2.133,0.0
380,25.424,60.0,1.855,0.0
381,24.833,60.0,2.318,0.0
382,24.927,60.0,2.318,0.0
383,26.74,60.0,0.27,0.0
384,27.006,60.0,0.27,0.0
385,27.302,60.0,0.27,0.0
386,27.507,60.0,0.27,0.0
387,27.716,60.0,0.27,0.0
388,27.831,60.0,0.27,0.0
389,28.161,60.0,0.27,0.0
390,26.799,60.0,2.164,0.0
391,27.368,60.0,1.855,0.0
392,28.021,60.0,0.711,0.123
393,23.361,60.0,0.541,2.137
394,20.697,60.0,0.541,2.593
395,17.906,60.0,1.461,3.291
396,16.435,60.0,3.029,3.616
397,18.854,60.0,1.345,3.045
398,17.972,60.0,0.541,4.857
399,17.926,60.0,0.541,4.752
400,18.8,60.0,1.461,3.312
401,21.752,60.0,3.091,0.0
402,22.632,60.0,2.411,0.0
403,23.143,60.0,2.133,0.0
404,23.574,60.0,1.855,0.0
405,23.011,60.0,2.318,0.0
406,23.205,60.0,2.318,0.0
407,25.217,60.0,0.27,0.0
408,25.406,60.0,0.27,0.0
409,25.534,60.0,0.27,0.0
410,25.538,60.0,0.27,0.0
411,25.652,60.0,0.27,0.0
412,25.662,60.0,0.27,0.0
413,25.758,60.0,0.27,0.0
414,24.292,60.0,2.164,0.0
415,24.858,60.0,1.855,0.0
416,25.662,60.0,0.711,0.052
417,25.291,60.0,0.541,0.226
418,24.715,60.0,0.541,0.435
419,18.922,60.0,1.461,2.597
420,16.929,60.0,3.029,2.323
421,16.202,60.0,1.345,4.594
422,15.856,60.0,0.541,5.607
423,15.735,60.0,0.541,5.522
424,17.335,60.0,1.461,3.202
425,20.028,60.0,3.091,0.0
