Hour;Set_T;Temp;SFH15_kWh;SFH45_kWh;SFH100_kWh
450;20;-2,9;2197,3;4005,13;5466
451;20;-3,1;2226,75;3189,57;10791,5
452;20;-3,2;1934,93;4118,04;3712,35
453;20;-3,3;2232;3628,16;5172,92
454;20;-3,4;1934;3810,33;13356,4
455;20;-3,5;2230,47;3627,55;8906,12
456;20;-3,6;2288,85;4414,29;4892,06
457;20;-3,9;2318,91;4059,4;5972,24
458;20;-4;2348,21;3818,28;13295,9
459;20;-4;2376,71;4577,42;4447,87
460;20;-3,8;2404,3;3112,67;6315,67
461;20;-3,6;2430,99;4477,22;10033,7
462;20;-3,4;2455,53;4236,34;4834,26
463;20;-3,6;2227,23;3034,87;9630,62
464;20;-3,6;1903,56;3509,61;6071,54
465;20;-3,4;1823,05;4462,25;4393,13
466;20;-3;1781,82;3573,77;6681,88
467;20;-2,8;1740,11;4105,92;5133,2
468;20;-2,7;1700,22;2780,31;3824,28
469;20;-2,7;1661,83;3600,33;7361,35
470;20;-2,4;1625;3836,92;4659,51
471;20;-2,5;1590,35;3198,02;8175,84
472;20;-2,6;2169,03;3494,72;4838,59
473;20;-2,6;2201,81;3669,83;7741,63
474;20;-2,7;2233,43;3283,23;9247,66
475;20;-2,9;2261,78;3534,7;4621,84
476;20;-3;2147,67;2911,81;9583,54
477;20;-3,3;2173,97;4087,37;4763,07
478;20;-3,6;1811,6;3617,32;4228,38
479;20;-3,6;2240,34;3493,67;4593,75
480;20;-3,4;2298,36;3919,91;6316,95
481;20;-3,2;2327,71;4181,98;13287
482;20;-3,2;2356,24;4438,13;4984,81
483;20;-3,3;2384,06;4077,28;7771,69
484;20;-3,5;2411,25;3998,71;9655,32
485;20;-3,8;2437,89;4454,21;5485,28
486;20;-4;2210,03;4492,17;9725,08
487;20;-3,9;2091,15;4214,66;6087,04
488;20;-3,8;2126,51;4476,89;7296,21
489;20;-3,5;1815,61;3336,2;5364,76
490;20;-2,9;1774,35;3293,02;4228,79
491;20;-2,7;1732,73;2815,39;9444,29
492;20;-2,4;1692,94;3792,07;5817,67
493;20;-2,1;1653,69;2867,99;4197,56
494;20;-1,8;1616,42;3247,99;8875,73
495;20;-1,9;1581,45;2717,75;3741,38
496;20;-1,9;1887,66;3423,91;5770,33
497;20;-2;2136,44;3616,31;15171,1
498;20;-2;2169,32;3552,89;7472,78
499;20;-2,1;1707,08;3454,97;5056,36
500;20;-2,5;2002,52;4017,58;9003,65
501;20;-2,6;1955,73;2723,85;5073,44
502;20;-2,6;2068,77;2833,21;3990,35
503;20;-2,7;2172,6;4005,94;7398,89
504;20;-3,1;2223,49;3443,96;9496,65
505;20;-3,5;2255,04;4182,85;5458,96
506;20;-3,5;2285,73;4150,73;15884,8
507;20;-3,5;2315,6;3942,78;4106,88
508;20;-3,3;2344,53;4202,63;5623,45
509;20;-3,2;2372,6;3334,87;13137,2
510;20;-3,4;2398,77;3723,02;9746,43
511;20;-3,4;1885,54;3458,27;4788,57
512;20;-3,5;2204,09;4162,6;7731,19
513;20;-3,2;1795,82;3526,62;4724,86
514;20;-3,1;2035,89;3739,01;9606,43
515;20;-3;1724,44;3349,16;5144,53
516;20;-2,9;1685,53;4072,36;9209,38
517;20;-2,9;1648,64;4252,34;6129,51
518;20;-2,8;1916,12;3190,19;9409,07
519;20;-2,8;1906,92;2812,78;3822,96
520;20;-2,7;2225,49;4028,07;5567,3
521;20;-2,6;2256,77;4364,13;5881,43
522;20;-2,7;2286,92;3031,64;9945,08
523;20;-2,7;1737,04;2800,22;3522,84
524;20;-2,7;2067,82;4261,26;6125,52
525;20;-2,6;1991,82;3538,78;14994,5
526;20;-2,6;1727,02;2766,92;7443,33
527;20;-2,6;1996,52;3161,12;4675,39
528;20;-2,6;2276;3695,06;9461,95
529;20;-2,7;2305,63;4132,3;4405,19
530;20;-2,8;2334,51;4391,09;6409,24
531;20;-3;2362,73;3252,61;11048,8
532;20;-2,9;2329,55;4339,06;5466,77
533;20;-3;2257,2;3576,06;9946,48
534;20;-3;2137,77;4326,1;4909,14
535;20;-3;1974,81;3920,88;13016
536;20;-3,1;1833,06;2828,01;5330,52
537;20;-3;1758,75;3864,07;13067,1
538;20;-2,5;1754,49;3216,71;5950,3
539;20;-2,2;1685,66;2894,3;4394,85
540;20;-1,8;1647,12;3270,58;8825,52
541;20;-1,8;1609,22;3175,48;9093,36
542;20;-1,7;1572,15;2603,31;5853,62
543;20;-1,8;1538,13;2770,33;12085,5
544;20;-2;1506,22;3447,08;4715,79
545;20;-2,2;2057,47;4285,16;5035,53
546;20;-2,3;2093,75;3174,17;9629,79
547;20;-2,5;2125,53;3531,15;5240,41
548;20;-2,7;1977,15;3290,9;9230,57
549;20;-3;2114,13;3113,73;6029,25
550;20;-4;2152,42;4054,54;8457,5
551;20;-5,3;2214,99;3972,66;7607,98
552;20;-5,7;2247,9;4526,91;7232,98
553;20;-5,7;2280,22;3857,71;5593,89
554;20;-5,7;2311,68;4660,4;5835,39
555;20;-6,7;2342,94;4616,8;5940,32
556;20;-5,8;2372,75;4589,14;9253,43
557;20;-5,2;2401,35;4496,95;15793,3
558;20;-4,4;2427,36;3207,78;8972,03
559;20;-4,5;2451,99;3442,25;7279,21
560;20;-4,6;2476,55;4381,06;15591,8
561;20;-4,1;2498,63;4125,75;6347,74
562;20;-3,6;2520,08;3406,65;9454,63
563;20;-3,5;1926,39;2789,7;7345,51
564;20;-2,9;1876,01;3093,17;5121,71
565;20;-2,4;1823,27;2540,91;5439,51
566;20;-2,1;1770,64;2439,72;6542,08
567;20;-2;1726,98;2509,43;4511,47
568;20;-2,3;1689,33;2800,06;9782,94
569;20;-3;1655,33;4345,85;4796,5
570;20;-3,4;1622,35;3184,17;6468,84
571;20;-3,6;1588,17;3605,18;15075,2
572;20;-4,1;1555,79;3829,63;9171,93
573;20;-4,1;1524,75;3212,89;5412,69
574;20;-4,3;1494,37;4106,73;9710,03
575;20;-4,2;1465,34;3684,9;4445,51
576;20;-4,2;1438,5;3762,05;13437,2
577;20;-4,2;2008,39;4074,89;4655,3
578;20;-4,2;2045,95;4548,32;5718,44
579;20;-4,3;2082,58;4143,67;7946,57
580;20;-4,3;2118,27;3414,9;13749,4
581;20;-4,3;2153,05;4390,16;12800
582;20;-4,3;2185,69;3671,83;4170,3
583;20;-4,4;2216,83;3661,43;5263,08
584;20;-4,2;2247,54;3110,62;5251,32
585;20;-4;2276,3;4463,71;4280,05
586;20;-3,7;2304,19;3566,28;6457,83
587;20;-3,5;2329,84;3765,82;4314,17
588;20;-3,3;2355,32;2905,91;7459,16
589;20;-3,2;2380,07;3476,35;4341,98
590;20;-3;1950,25;4350,01;4502,34
591;20;-3,1;2020,28;3977,86;7480,43
592;20;-3,4;2363,96;4104,02;13552,9
