,Qs,HeatStockTemperature,DHWStockTemperature,ElectricConsumption,SolarPVProduction
357,22.338,40.0,54.0,6.955,0.0
358,22.573,40.0,52.2,6.955,0.0
359,28.171,40.0,52.1,0.811,0.0
360,28.433,40.0,52.0,0.811,0.0
361,28.644,40.0,51.8,0.811,0.0
362,28.868,40.0,51.7,0.811,0.0
363,29.082,40.0,51.6,0.811,0.0
364,29.238,40.0,51.5,0.811,0.0
365,29.446,40.0,70.0,0.811,0.0
366,25.048,40.0,65.4,6.492,0.0
367,26.315,40.0,60.8,5.564,0.0
368,28.493,40.0,58.8,2.133,0.0
369,19.969,40.0,58.0,1.623,0.0
370,15.804,40.0,57.1,1.623,0.0
371,10.544,40.0,55.9,4.382,0.0
372,3.5,40.0,54.2,9.088,0.0
373,7.262,40.0,53.0,4.034,0.0
374,11.796,40.0,52.2,1.623,0.0
375,14.169,40.0,51.4,1.623,0.0
376,13.81,40.0,50.3,4.382,0.0
377,15.324,40.0,70.0,9.274,0.0
378,16.968,40.0,67.2,7.233,0.0
379,17.793,40.0,63.3,6.399,0.0
380,18.67,40.0,59.9,5.564,0.0
381,17.195,40.0,57.8,6.955,0.0
382,17.171,40.0,55.9,6.955,0.0
383,22.513,40.0,55.8,0.811,0.0
384,22.733,40.0,55.6,0.811,0.0
385,22.791,40.0,55.5,0.811,0.0
386,23.016,40.0,55.4,0.811,0.0
387,23.022,40.0,55.2,0.811,0.0
388,23.231,40.0,55.1,0.811,0.0
389,23.405,40.0,53.0,0.811,0.0
390,18.973,40.0,70.0,6.492,0.0
391,20.281,40.0,65.1,5.564,0.0
392,22.971,40.0,62.9,2.133,0.0
393,18.291,40.0,62.0,1.623,0.0
394,14.254,40.0,61.1,1.623,0.0
395,6.24,40.0,59.7,4.382,0.0
396,2.808,40.0,57.9,9.088,0.0
397,6.834,40.0,56.6,4.034,0.0
398,9.215,40.0,55.8,1.623,0.0
399,9.601,40.0,54.9,1.623,0.0
400,12.485,40.0,53.7,4.382,0.0
401,12.214,40.0,52.1,9.274,0.0
402,14.343,40.0,50.1,7.233,0.0
403,15.456,40.0,70.0,6.399,0.0
404,16.717,40.0,66.3,5.564,0.0
405,15.375,40.0,63.9,6.955,0.0
406,15.764,40.0,61.8,6.955,0.0
407,21.38,40.0,61.6,0.811,0.0
408,21.92,40.0,61.5,0.811,0.0
409,22.669,40.0,61.3,0.811,0.0
410,23.172,40.0,61.2,0.811,0.0
411,23.6,40.0,61.0,0.811,0.0
412,23.879,40.0,60.8,0.811,0.0
413,24.14,40.0,58.5,0.811,0.0
414,20.014,40.0,54.7,6.492,0.0
415,21.441,40.0,51.0,5.564,0.0
416,23.592,40.0,70.0,2.133,0.0
417,15.089,40.0,69.0,1.623,0.0
418,11.322,40.0,67.9,1.623,0.0
419,6.175,40.0,66.4,4.382,0.0
420,0.0,18.0,64.4,9.088,0.0
421,2.16,40.0,63.0,4.034,0.0
422,6.869,40.0,62.0,1.623,0.0
423,8.964,40.0,61.0,1.623,0.0
424,9.033,40.0,59.6,4.382,0.0
425,10.251,40.0,57.9,9.274,0.0
426,12.589,40.0,55.6,7.233,0.0
427,13.602,40.0,52.4,6.399,0.0
428,14.844,40.0,70.0,5.564,0.0
429,13.601,40.0,67.5,6.955,0.0
430,14.153,40.0,65.2,6.955,0.0
431,19.896,40.0,65.1,0.811,0.0
432,20.262,40.0,64.9,0.811,0.0
433,21.106,40.0,64.8,0.811,0.0
434,21.666,40.0,64.6,0.811,0.0
435,21.912,40.0,64.4,0.811,0.0
436,22.039,40.0,64.3,0.811,0.0
437,22.408,40.0,61.8,0.811,0.0
438,18.072,40.0,57.8,6.492,0.0
439,19.495,40.0,53.8,5.564,0.0
440,21.451,40.0,52.0,2.133,0.0
441,13.323,40.0,51.3,1.623,0.0
442,9.064,40.0,50.5,1.623,0.0
443,3.887,40.0,70.0,4.382,0.0
444,0.0,18.0,67.9,9.088,0.0
445,0.0,18.0,66.3,4.034,0.0
446,4.434,40.0,65.3,1.623,0.0
447,6.828,40.0,64.3,1.623,0.0
448,6.983,40.0,62.8,4.382,0.0
449,8.139,40.0,60.9,9.274,0.0
450,10.496,40.0,58.6,7.233,0.0
451,11.774,40.0,55.2,6.399,0.0
452,13.182,40.0,52.3,5.564,0.0
453,12.226,40.0,50.5,6.955,0.0
454,12.571,40.0,70.0,6.955,0.0
455,18.571,40.0,69.8,0.811,0.0
456,19.443,40.0,69.6,0.811,0.0
457,20.096,40.0,69.5,0.811,0.0
458,20.917,40.0,69.3,0.811,0.0
459,21.377,40.0,69.1,0.811,0.0
460,21.792,40.0,68.9,0.811,0.0
461,22.147,40.0,66.2,0.811,0.0
462,18.099,40.0,61.9,6.492,0.0
463,19.647,40.0,57.6,5.564,0.0
464,21.479,40.0,55.7,2.133,0.0
465,14.497,40.0,54.9,1.623,0.0
466,10.44,40.0,54.1,1.623,0.0
467,4.546,40.0,52.9,4.382,0.0
468,0.0,18.0,51.4,9.088,0.0
469,1.084,40.0,50.2,4.034,0.0
